"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase4.S23","S23",4,"Phase4","Phase4.S23",6228,2023,5,"6228_2023_5","C","PBS","38C",3,"12:40 pm",12.67,"F",9.02,9.02,"IH2","Elevator","El_CR",84.52,81,2.5,"","EL",-0.438696725,""
"Phase4.S24","S24",4,"Phase4","Phase4.S24",6228,2023,5,"6228_2023_5","TH","LPS_1","38C",3,"12:40 pm",12.67,"F",9.02,9.02,"IH2","Elevator","El_CR",84.52,81,2.5,"","EL",-0.438696725,""
"Phase4.S25","S25",4,"Phase4","Phase4.S25",6157,2023,5,"6157_2023_5","C","PBS","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
"Phase4.S26","S26",4,"Phase4","Phase4.S26",6157,2023,5,"6157_2023_5","TH","LPS_1","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
"Phase4.S27","S27",4,"Phase4","Phase4.S27",6157,2024,5,"6157_2024_5","CpG","CpG","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
"Phase4.S28","S28",4,"Phase4","Phase4.S28",6159,2023,5,"6159_2023_5","C","PBS","38C",3,"1:28 pm",13.47,"M",9.29,9.29,"IH2","Stairwell","St_N",80.29,88,3,"B","ST",2.540445,""
"Phase4.S29","S29",4,"Phase4","Phase4.S29",6159,2023,5,"6159_2023_5","TH","LPS_1","38C",3,"1:28 pm",13.47,"M",9.29,9.29,"IH2","Stairwell","St_N",80.29,88,3,"B","ST",2.540445,""
"Phase4.S3","S3",4,"Phase4","Phase4.S3",6256,2023,5,"6256_2023_5","C","PBS","38C",3,"11:43 am",11.72,"M",6.66,6.66,"IH2","Elevator","El_CL",80.85,90,3,"H","ST",-0.306544816,""
"Phase4.S30","S30",4,"Phase4","Phase4.S30",6159,2024,5,"6159_2024_5","CpG","CpG","38C",3,"1:28 pm",13.47,"M",9.29,9.29,"IH2","Stairwell","St_N",80.29,88,3,"B","ST",2.540445,""
"Phase4.S31","S31",4,"Phase4","Phase4.S31",6217,2023,5,"6217_2023_5","C","PBS","38C",3,"12:34 pm",12.57,"F",11.03,11.03,"IH2","Stairwell","St_NearRt",83.53,76.5,3,"","EL",-0.311824378,""
"Phase4.S32","S32",4,"Phase4","Phase4.S32",6217,2023,5,"6217_2023_5","TH","LPS_1","38C",3,"12:34 pm",12.57,"F",11.03,11.03,"IH2","Stairwell","St_NearRt",83.53,76.5,3,"","EL",-0.311824378,""
"Phase4.S33","S33",4,"Phase4","Phase4.S33",6259,2023,5,"6259_2023_5","C","PBS","38C",3,"11:15 am",11.25,"F",11.6,11.6,"IH2","Elevator","El_CL",81.59,79,5,"","EL",0.586734587,""
"Phase4.S34","S34",4,"Phase4","Phase4.S34",6259,2023,5,"6259_2023_5","TH","LPS_1","38C",3,"11:15 am",11.25,"F",11.6,11.6,"IH2","Elevator","El_CL",81.59,79,5,"","EL",0.586734587,""
"Phase4.S4","S4",4,"Phase4","Phase4.S4",6256,2023,5,"6256_2023_5","TH","LPS_1","38C",3,"11:43 am",11.72,"M",6.66,6.66,"IH2","Elevator","El_CL",80.85,90,3,"H","ST",-0.306544816,""
"Phase4.S5","S5",4,"Phase4","Phase4.S5",6258,2023,5,"6258_2023_5","C","PBS","38C",3,"11:26 am",11.43,"F",1.73,1.73,"IH2","Elevator","El_CL",79.33,83,1.5,"","NL",-1.361633799,""
"Phase4.S6","S6",4,"Phase4","Phase4.S6",6258,2023,5,"6258_2023_5","TH","LPS_1","38C",3,"11:26 am",11.43,"F",1.73,1.73,"IH2","Elevator","El_CL",79.33,83,1.5,"","NL",-1.361633799,""
"Phase4.S7","S7",4,"Phase4","Phase4.S7",6263,2023,5,"6263_2023_5","C","PBS","38C",3,"1:22 pm",13.37,"M",9.97,9.97,"IH2","Elevator","El_LeftEdge",84.43,96,3.5,"H","ST",-0.306730267,""
"Phase4.S8","S8",4,"Phase4","Phase4.S8",6263,2023,5,"6263_2023_5","TH","LPS_1","38C",3,"1:22 pm",13.37,"M",9.97,9.97,"IH2","Elevator","El_LeftEdge",84.43,96,3.5,"H","ST",-0.306730267,""
"Phase4.S9","S9",4,"Phase4","Phase4.S9",6207,2023,5,"6207_2023_5","C","PBS","38C",3,"1:22 pm",13.37,"M",5.3,5.3,"IH2","Stairwell","St_S",81.63,94.5,2,"B","ST",1.797823769,""
"Phase5.b1.S1","S1",5,"Phase5.b1","Phase5.b1.S1",3991,2024,1,"3991_2024_1","C","PBS","38C",3,"2:40 pm",14.67,"F",5.8,5.8,"Tamana","Rd Chamber","R9",81.87,74.5,2.5,"","EL",0.828856432,""
"Phase5.b1.S10","S10",5,"Phase5.b1","Phase5.b1.S10",6001,2024,1,"6001_2024_1","C","PBS","38C",3,"4:54 pm",16.9,"M",6.79,6.79,"Tamana","Rd Chamber","R12",82.68,98,2,"H","ST",1.883874758,""
"Phase5.b1.S11","S11",5,"Phase5.b1","Phase5.b1.S11",6001,2024,1,"6001_2024_1","TH","LPS_1","38C",3,"4:54 pm",16.9,"M",6.79,6.79,"Tamana","Rd Chamber","R12",82.68,98,2,"H","ST",1.883874758,""
"Phase5.b1.S12","S12",5,"Phase5.b1","Phase5.b1.S12",6037,2024,1,"6037_2024_1","C","PBS","38C",3,"3:07 pm",15.12,"M",8.36,8.36,"Tamana","Rd Chamber","R9",86.52,92.6,3.5,"H","ST",1.085278165,""
"Phase5.b1.S13","S13",5,"Phase5.b1","Phase5.b1.S13",6037,2024,1,"6037_2024_1","C0","None","38C",0,"3:07 pm",15.12,"M",7.69,7.69,"Tamana","Rd Chamber","R9",86.37,91,3.5,"H","ST",1.974572547,""
"Phase5.b1.S14","S14",5,"Phase5.b1","Phase5.b1.S14",6037,2024,1,"6037_2024_1","TH","LPS_1","38C",3,"3:07 pm",15.12,"M",8.36,8.36,"Tamana","Rd Chamber","R9",86.52,92.6,3.5,"H","ST",1.085278165,""
"Phase5.b1.S15","S15",5,"Phase5.b1","Phase5.b1.S15",6106,2024,1,"6106_2024_1","C","PBS","38C",3,"4:52 pm",16.87,"F",6.4,6.4,"Tamana","Rd Chamber","R6",80.52,71,2.5,"","EL",0.347785997,""
"Phase5.b1.S16","S16",5,"Phase5.b1","Phase5.b1.S16",6106,2024,1,"6106_2024_1","TH","LPS_1","38C",3,"4:52 pm",16.87,"F",6.4,6.4,"Tamana","Rd Chamber","R6",80.52,71,2.5,"","EL",0.347785997,""
"Phase5.b1.S17","S17",5,"Phase5.b1","Phase5.b1.S17",6115,2024,1,"6115_2024_1","C","PBS","38C",3,"3:20 pm",15.33,"M",5.3,5.3,"Tamana","Rd Chamber","R6",82.1,85.5,2.5,"H","ST",1.261651916,""
"Phase5.b1.S18","S18",5,"Phase5.b1","Phase5.b1.S18",6115,2024,1,"6115_2024_1","TH","LPS_1","38C",3,"3:20 pm",15.33,"M",5.3,5.3,"Tamana","Rd Chamber","R6",82.1,85.5,2.5,"H","ST",1.261651916,""
"Phase5.b1.S19","S19",5,"Phase5.b1","Phase5.b1.S19",6123,2024,1,"6123_2024_1","C","PBS","38C",3,"4:13 pm",16.22,"F",17.28,17.28,"Tamana","Rd Chamber","R10",82.32,67.5,4.5,"","EL",-0.193706879,""
"Phase5.b1.S2","S2",5,"Phase5.b1","Phase5.b1.S2",3991,2024,1,"3991_2024_1","TH","LPS_1","38C",3,"2:40 pm",14.67,"F",5.8,5.8,"Tamana","Rd Chamber","R9",81.87,74.5,2.5,"","EL",0.828856432,""
"Phase5.b1.S20","S20",5,"Phase5.b1","Phase5.b1.S20",6123,2024,1,"6123_2024_1","TH","LPS_1","38C",3,"4:13 pm",16.22,"F",17.28,17.28,"Tamana","Rd Chamber","R10",82.32,67.5,4.5,"","EL",-0.193706879,""
"Phase5.b1.S21","S21",5,"Phase5.b1","Phase5.b1.S21",6150,2024,1,"6150_2024_1","C","PBS","38C",3,"4:37 pm",16.62,"M",6.1,6.1,"Tamana","Lg Chamber","L18",84.24,90.5,2,"B","ST",0.709044487,""
"Phase5.b1.S22","S22",5,"Phase5.b1","Phase5.b1.S22",6150,2024,1,"6150_2024_1","TH","LPS_1","38C",3,"4:37 pm",16.62,"M",6.1,6.1,"Tamana","Lg Chamber","L18",84.24,90.5,2,"B","ST",0.709044487,""
"Phase5.b1.S23","S23",5,"Phase5.b1","Phase5.b1.S23",6194,2024,1,"6194_2024_1","C","PBS","38C",3,"4:47 pm",16.78,"M",0.8,0.8,"Tamana","Lg Chamber","R11",82.73,73.6,1,"B","AT",1.183169677,""
"Phase5.b1.S24","S24",5,"Phase5.b1","Phase5.b1.S24",6194,2024,1,"6194_2024_1","TH","LPS_1","38C",3,"4:47 pm",16.78,"M",0.8,0.8,"Tamana","Lg Chamber","R11",82.73,73.6,1,"B","AT",1.183169677,""
"Phase5.b1.S25","S25",5,"Phase5.b1","Phase5.b1.S25",6199,2024,1,"6199_2024_1","C","PBS","38C",3,"4:00 pm",16,"M",9.9,9.9,"Tamana","Rd Chamber","R10",82.87,98,4,"H","ST",2.539733291,""
"Phase5.b1.S26","S26",5,"Phase5.b1","Phase5.b1.S26",6199,2024,1,"6199_2024_1","TH","LPS_1","38C",3,"4:00 pm",16,"M",9.9,9.9,"Tamana","Rd Chamber","R10",82.87,98,4,"H","ST",2.539733291,""
"Phase5.b1.S27","S27",5,"Phase5.b1","Phase5.b1.S27",6270,2024,1,"6270_2024_1","C","PBS","38C",3,"4:14 pm",16.23,"M",4.4,4.4,"Tamana","Rd Chamber","L18",86.44,95.2,1.5,"B","ST",0.323065576,""
"Phase5.b1.S28","S28",5,"Phase5.b1","Phase5.b1.S28",6270,2024,1,"6270_2024_1","TH","LPS_1","38C",3,"4:14 pm",16.23,"M",4.4,4.4,"Tamana","Rd Chamber","L18",86.44,95.2,1.5,"B","ST",0.323065576,""
"Phase5.b1.S29","S29",5,"Phase5.b1","Phase5.b1.S29",6281,2024,1,"6281_2024_1","C","PBS","38C",3,"3:20 pm",15.33,"F",1.75,1.75,"Tamana","Tunnel","T6",85.86,71.2,1.5,"","",-0.19923803,""
"Phase5.b1.S3","S3",5,"Phase5.b1","Phase5.b1.S3",4197,2024,1,"4197_2024_1","C","PBS","38C",3,"4:07 pm",16.12,"F",16.4,16.4,"Tamana","Rd Chamber","R11",82.6,72.8,4.5,"","EL",0.992276639,""
"Phase5.b1.S30","S30",5,"Phase5.b1","Phase5.b1.S30",6281,2024,1,"6281_2024_1","TH","LPS_1","38C",3,"3:20 pm",15.33,"F",1.75,1.75,"Tamana","Tunnel","T6",85.86,71.2,1.5,"","",-0.19923803,""
"Phase5.b1.S31","S31",5,"Phase5.b1","Phase5.b1.S31",6282,2024,1,"6282_2024_1","C","PBS","38C",3,"3:30 pm",15.5,"F",1.75,1.75,"Tamana","Tunnel","T6",82.49,69.5,1.5,"","",-0.533390497,""
"Phase5.b1.S32","S32",5,"Phase5.b1","Phase5.b1.S32",6282,2024,1,"6282_2024_1","TH","LPS_1","38C",3,"3:30 pm",15.5,"F",1.75,1.75,"Tamana","Tunnel","T6",82.49,69.5,1.5,"","",-0.533390497,""
"Phase5.b1.S33","S33",5,"Phase5.b1","Phase5.b1.S33",6321,2024,1,"6321_2024_1","C","PBS","38C",3,"4:33 pm",16.55,"M",6.46,6.46,"Tamana","Lg Chamber","L11",79.81,89.5,2.5,"B","ST",1.80388083,""
"Phase5.b1.S34","S34",5,"Phase5.b1","Phase5.b1.S34",6321,2024,1,"6321_2024_1","TH","LPS_1","38C",3,"4:33 pm",16.55,"M",6.46,6.46,"Tamana","Lg Chamber","L11",79.81,89.5,2.5,"B","ST",1.80388083,""
"Phase5.b1.S4","S4",5,"Phase5.b1","Phase5.b1.S4",4197,2024,1,"4197_2024_1","C0","None","38C",0,"4:07 pm",16.12,"F",16.4,16.4,"Tamana","Rd Chamber","R11",82.6,72.8,4.5,"","EL",0.992276639,""
"Phase5.b1.S5","S5",5,"Phase5.b1","Phase5.b1.S5",4197,2024,1,"4197_2024_1","TH","LPS_1","38C",3,"4:07 pm",16.12,"F",16.4,16.4,"Tamana","Rd Chamber","R11",82.6,72.8,4.5,"","EL",0.992276639,""
"Phase5.b1.S6","S6",5,"Phase5.b1","Phase5.b1.S6",4610,2024,1,"4610_2024_1","C","PBS","38C",3,"2:48 pm",14.8,"F",12.98,12.98,"Tamana","Rd Chamber","R9",83.76,73.5,4.5,"","EL",1.544637919,""
"Phase5.b1.S7","S7",5,"Phase5.b1","Phase5.b1.S7",4610,2024,1,"4610_2024_1","TH","LPS_1","38C",3,"2:48 pm",14.8,"F",12.98,12.98,"Tamana","Rd Chamber","R9",83.76,73.5,4.5,"","EL",1.544637919,""
"Phase5.b1.S8","S8",5,"Phase5.b1","Phase5.b1.S8",4716,2024,1,"4716_2024_1","C","PBS","38C",3,"2:14 pm",14.23,"F",13.1,13.1,"Tamana","Rd Chamber","R9",83.89,70.5,4.5,"","EL",-0.049832374,""
"Phase5.b1.S9","S9",5,"Phase5.b1","Phase5.b1.S9",4716,2024,1,"4716_2024_1","TH","LPS_1","38C",3,"2:14 pm",14.23,"F",13.1,13.1,"Tamana","Rd Chamber","R9",83.89,70.5,4.5,"","EL",-0.049832374,""
"Phase5.b2.S1","S1",5,"Phase5.b2","Phase5.b2.S1",6221,2024,1,"6221_2024_1","C","PBS","38C",3,"1:22 pm",13.37,"F",9.9,9.9,"IH2","Elevator","NEL1",80.44,75,3.5,"","EL",0.369697884,""
"Phase5.b2.S10","S10",5,"Phase5.b2","Phase5.b2.S10",6354,2024,1,"6354_2024_1","TH","LPS_1","38C",3,"3:09 pm",15.15,"F",0.8,0.8,"IH2","Elevator","NEL1",79.96,73.5,1.5,"","NEL",0.325083231,""
"Phase5.b2.S11","S11",5,"Phase5.b2","Phase5.b2.S11",6364,2024,1,"6364_2024_1","C","PBS","38C",3,"1:19 pm",13.32,"F",18.7,18.7,"IH2","Elevator","SEL3",82.5,76.5,5,"","",-0.293606658,""
"Phase5.b2.S12","S12",5,"Phase5.b2","Phase5.b2.S12",6364,2024,1,"6364_2024_1","TH","LPS_1","38C",3,"1:19 pm",13.32,"F",18.7,18.7,"IH2","Elevator","SEL3",82.5,76.5,5,"","",-0.293606658,""
"Phase5.b2.S13","S13",5,"Phase5.b2","Phase5.b2.S13",6369,2024,1,"6369_2024_1","C","PBS","38C",3,"1:31 pm",13.52,"F",11.2,11.2,"IH2","Elevator","SEL4",79.7,65.5,4,"","",1.337061088,""
"Phase5.b2.S14","S14",5,"Phase5.b2","Phase5.b2.S14",6369,2024,1,"6369_2024_1","TH","LPS_1","38C",3,"1:31 pm",13.52,"F",11.2,11.2,"IH2","Elevator","SEL4",79.7,65.5,4,"","",1.337061088,""
"Phase5.b2.S15","S15",5,"Phase5.b2","Phase5.b2.S15",6369,2024,1,"6369_2024_1","C0","None","38C",0,"1:31 pm",13.52,"F",11.2,11.2,"IH2","Elevator","SEL4",79.7,65.5,4,"","",1.337061088,""
"Phase5.b2.S16","S16",5,"Phase5.b2","Phase5.b2.S16",6377,2024,1,"6377_2024_1","C","PBS","38C",3,"1:41 pm",13.68,"F",11.24,11.24,"IH2","Elevator","SEL4",81.18,71.5,4,"","EL",1.323235183,""
"Phase5.b2.S17","S17",5,"Phase5.b2","Phase5.b2.S17",6377,2024,1,"6377_2024_1","TH","LPS_1","38C",3,"1:41 pm",13.68,"F",11.24,11.24,"IH2","Elevator","SEL4",81.18,71.5,4,"","EL",1.323235183,""
"Phase5.b2.S18","S18",5,"Phase5.b2","Phase5.b2.S18",6165,2024,1,"6165_2024_1","C","PBS","38C",3,"2:10 pm",14.17,"M",4.2,4.2,"IH2","Stairwell","",81.33,85.5,2,"B","ST",0.844147005,""
"Phase5.b2.S19","S19",5,"Phase5.b2","Phase5.b2.S19",6165,2024,1,"6165_2024_1","TH","LPS_1","38C",3,"2:10 pm",14.17,"M",4.2,4.2,"IH2","Stairwell","",81.33,85.5,2,"B","ST",0.844147005,""
"Phase5.b2.S2","S2",5,"Phase5.b2","Phase5.b2.S2",6221,2024,1,"6221_2024_1","TH","LPS_1","38C",3,"1:22 pm",13.37,"F",9.9,9.9,"IH2","Elevator","NEL1",80.44,75,3.5,"","EL",0.369697884,""
"Phase5.b2.S20","S20",5,"Phase5.b2","Phase5.b2.S20",6256,2024,1,"6256_2024_1","C","PBS","38C",3,"1:34 pm",13.57,"M",7.5,7.5,"IH2","Elevator","SEL2",80.76,86,3.5,"H","ST",0.029012396,""
"Phase5.b2.S21","S21",5,"Phase5.b2","Phase5.b2.S21",6256,2024,1,"6256_2024_1","TH","LPS_1","38C",3,"1:34 pm",13.57,"M",7.5,7.5,"IH2","Elevator","SEL2",80.76,86,3.5,"H","ST",0.029012396,""
"Phase5.b2.S22","S22",5,"Phase5.b2","Phase5.b2.S22",6334,2024,1,"6334_2024_1","C","PBS","38C",3,"2:18 pm",14.3,"M",2.9,2.9,"IH2","Stairwell","",83.13,91.5,2,"B","ST",1.787507687,""
"Phase5.b2.S23","S23",5,"Phase5.b2","Phase5.b2.S23",6334,2024,1,"6334_2024_1","TH","LPS_1","38C",3,"2:18 pm",14.3,"M",2.9,2.9,"IH2","Stairwell","",83.13,91.5,2,"B","ST",1.787507687,""
"Phase5.b2.S24","S24",5,"Phase5.b2","Phase5.b2.S24",6338,2024,1,"6338_2024_1","C","PBS","38C",3,"3:18 pm",15.3,"M",7.9,7.9,"IH2","Stairwell","",81.96,85.5,2.5,"B","ST",0.863411086,""
"Phase5.b2.S25","S25",5,"Phase5.b2","Phase5.b2.S25",6338,2024,1,"6338_2024_1","TH","LPS_1","38C",3,"3:18 pm",15.3,"M",7.9,7.9,"IH2","Stairwell","",81.96,85.5,2.5,"B","ST",0.863411086,""
"Phase5.b2.S26","S26",5,"Phase5.b2","Phase5.b2.S26",6339,2024,1,"6339_2024_1","C","PBS","38C",3,"3:44 pm",15.73,"M",1.9,1.9,"IH2","Stairwell","",78.02,73.8,1.5,"B","AT",0.43936666,""
"Phase5.b2.S27","S27",5,"Phase5.b2","Phase5.b2.S27",6339,2024,1,"6339_2024_1","TH","LPS_1","38C",3,"3:44 pm",15.73,"M",1.9,1.9,"IH2","Stairwell","",78.02,73.8,1.5,"B","AT",0.43936666,""
"Phase5.b2.S28","S28",5,"Phase5.b2","Phase5.b2.S28",6340,2024,1,"6340_2024_1","C","PBS","38C",3,"3:35 pm",15.58,"M",3,3,"IH2","Stairwell","",82.18,86,1.5,"B","AT",0.694742332,""
"Phase5.b2.S29","S29",5,"Phase5.b2","Phase5.b2.S29",6340,2024,1,"6340_2024_1","TH","LPS_1","38C",3,"3:35 pm",15.58,"M",3,3,"IH2","Stairwell","",82.18,86,1.5,"B","AT",0.694742332,""
"Phase5.b2.S3","S3",5,"Phase5.b2","Phase5.b2.S3",6227,2024,1,"6227_2024_1","C","PBS","38C",3,"2:02 pm",14.03,"F",5.4,5.4,"IH2","Elevator","NEL1",80.61,71.8,3,"","EL",0.336965922,""
"Phase5.b2.S30","S30",5,"Phase5.b2","Phase5.b2.S30",6386,2024,1,"6386_2024_1","C","PBS","38C",3,"1:27 pm",13.45,"M",7.1,7.1,"IH2","Elevator","NEL6",81.55,85.5,3,"H","ST",0.758459331,""
"Phase5.b2.S31","S31",5,"Phase5.b2","Phase5.b2.S31",6386,2024,1,"6386_2024_1","TH","LPS_1","38C",3,"1:27 pm",13.45,"M",7.1,7.1,"IH2","Elevator","NEL6",81.55,85.5,3,"H","ST",0.758459331,""
"Phase5.b2.S32","S32",5,"Phase5.b2","Phase5.b2.S32",6387,2024,1,"6387_2024_1","C","PBS","38C",3,"1:43 pm",13.72,"M",3.95,3.95,"IH2","Elevator","SEL7",81.73,85.5,2,"H","ST",0.314587723,""
"Phase5.b2.S33","S33",5,"Phase5.b2","Phase5.b2.S33",6387,2024,1,"6387_2024_1","TH","LPS_1","38C",3,"1:43 pm",13.72,"M",3.95,3.95,"IH2","Elevator","SEL7",81.73,85.5,2,"H","ST",0.314587723,""
"Phase5.b2.S34","S34",5,"Phase5.b2","Phase5.b2.S34",6387,2024,1,"6387_2024_1","C0","None","38C",0,"1:43 pm",13.72,"M",3.95,3.95,"IH2","Elevator","SEL7",81.73,85.5,2,"H","ST",0.314587723,""
"Phase5.b2.S4","S4",5,"Phase5.b2","Phase5.b2.S4",6227,2024,1,"6227_2024_1","TH","LPS_1","38C",3,"2:02 pm",14.03,"F",5.4,5.4,"IH2","Elevator","NEL1",80.61,71.8,3,"","EL",0.336965922,""
"Phase5.b2.S5","S5",5,"Phase5.b2","Phase5.b2.S5",6246,2024,1,"6246_2024_1","C","PBS","38C",3,"3:00 pm",15,"F",5,5,"IH2","Elevator","SEL2",81.31,79.5,2,"","EL",-0.629295709,""
"Phase5.b2.S6","S6",5,"Phase5.b2","Phase5.b2.S6",6246,2024,1,"6246_2024_1","TH","LPS_1","38C",3,"3:00 pm",15,"F",5,5,"IH2","Elevator","SEL2",81.31,79.5,2,"","EL",-0.629295709,""
"Phase5.b2.S7","S7",5,"Phase5.b2","Phase5.b2.S7",6259,2024,1,"6259_2024_1","C","PBS","38C",3,"2:50 pm",14.83,"F",12.4,12.4,"IH2","Elevator","SEL2",81.79,74,4.5,"","EL",0.519422249,""
"Phase5.b2.S8","S8",5,"Phase5.b2","Phase5.b2.S8",6259,2024,1,"6259_2024_1","TH","LPS_1","38C",3,"2:50 pm",14.83,"F",12.4,12.4,"IH2","Elevator","SEL2",81.79,74,4.5,"","EL",0.519422249,""
"Phase5.b2.S9","S9",5,"Phase5.b2","Phase5.b2.S9",6354,2024,1,"6354_2024_1","C","PBS","38C",3,"3:09 pm",15.15,"F",0.8,0.8,"IH2","Elevator","NEL1",79.96,73.5,1.5,"","NEL",0.325083231,""
"Phase6.S1","S1",6,"Phase6","Phase6.S1",3980,2024,1,"3980_2024_1","C0","None","38C",0,"11:30 am",11.5,"F",10,10,"Tamana","Rd Chamber","R9",82.04,70.8,4,"","EL",1.131402111,""
"Phase6.S10","S10",6,"Phase6","Phase6.S10",6126,2024,1,"6126_2024_1","C0","None","38C",0,"",0,"F",15.1,15.1,"Tamana","Rd Chamber","R10",85.69,72.2,4.5,"","EL",1.592002851,""
"Phase6.S11","S11",6,"Phase6","Phase6.S11",6150,2024,1,"6150_2024_1","C0","None","38C",0,"4:37 pm",16.62,"M",6.1,6.1,"Tamana","Lg Chamber","L18",84.24,90.5,2,"B","ST",0.709928658,""
"Phase6.S12","S12",6,"Phase6","Phase6.S12",6165,2024,1,"6165_2024_1","C0","None","38C",0,"",0,"M",4,4,"Ice House2","Stairway","North",82.74,87.5,1.5,"B","ST",0.842393486,""
"Phase6.S13","S13",6,"Phase6","Phase6.S13",6194,2024,1,"6194_2024_1","C0","None","38C",0,"4:47 pm",16.78,"M",0.8,0.8,"Tamana","Lg Chamber","R11",82.73,73.6,1,"B","AT",1.181700169,""
"Phase6.S14","S14",6,"Phase6","Phase6.S14",6216,2024,1,"6216_2024_1","C0","None","38C",0,"",0,"F",5.3,5.3,"Ice House2","Elevator","NEL6",85.12,81.5,3,"","EL",0.348894757,""
"Phase6.S15","S15",6,"Phase6","Phase6.S15",6227,2024,1,"6227_2024_1","C0","None","38C",0,"2:02 pm",14.03,"F",5.4,5.4,"IH2","Elevator","NEL1",80.61,71.8,3,"","EL",0.338102524,""
"Phase6.S16","S16",6,"Phase6","Phase6.S16",6310,2024,1,"6310_2024_1","C0","None","38C",0,"",0,"M",4.9,4.9,"Tamana","Tunnel","T5",85.07,90.5,3,"H","ST",0.939077458,""
